Test Result UID,Sample Name,Sample Type,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,URL
,Key Lime Pie,"Flower, Inhalable",,,,,,0.0,0.001,0.0,0.0,0.001,0.051,0.0,0.033,0.0,0.0,0.0,0.149,0.019,0.0,0.38799999999999996,0.091,,0.039,0.244,0.0,0.0,,0.45,0.02,18.76,0.02,0.0,0.08,0.0,0.0,0.0,0.29,0.12,0.07,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/key-lime-pie
,True OG,"Flower, Inhalable",,,,,,0.0,0.0,0.0,0.0,0.0,0.044000000000000004,0.0,0.023,0.0,0.0,0.0,0.129,0.01,0.0,0.33899999999999997,0.136,,0.023,0.14800000000000002,0.0,0.0,,0.38,0.02,17.6,0.02,0.0,0.1,0.0,0.0,0.0,0.55,0.11,0.06,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/true-og
,Tahoe OG,"Concentrate, Inhalable",,,,,,0.0,0.0,0.15,0.0,0.0,0.261,0.0,0.16399999999999998,0.026000000000000002,0.031,0.35200000000000004,0.379,0.239,0.0,0.975,0.207,,0.10099999999999999,0.187,0.0,0.0,,3.4,0.0,66.26,0.12,0.07,0.55,0.02,0.0,0.0,4.77,0.29,0.0,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/tahoe-og
,Pineapple Express (SG-Sat),"Flower, Inhalable",,,,,,0.0,0.0,0.019,0.002,0.0,0.005,0.0,0.03,0.0,0.0,0.006999999999999999,0.14,0.008,0.0,0.45899999999999996,0.322,,0.015,0.057,0.0,0.0,,0.92,0.04,11.58,0.01,0.0,0.05,0.0,0.0,0.0,0.17,0.03,0.0,https://www.allbud.com/marijuana-strains/sativa-dominant-hybrid/pineapple-express
,Golden Pineapple (SG-Sat),"Flower, Inhalable",,,,,,0.034,0.008,0.006,0.0,0.004,0.136,0.006,0.016,0.07,0.7090000000000001,0.038,0.073,0.091,0.017,0.23,0.08800000000000001,,0.12,0.271,0.013999999999999999,0.005,,0.44,0.03,14.33,0.05,0.0,0.07,0.0,0.01,0.0,1.37,0.06,0.0,https://www.allbud.com/marijuana-strains/hybrid/golden-pineapple
,Green Crack (SG-hyb),"Flower, Inhalable",,,,,,0.0,0.0,0.001,0.004,0.0,0.0,0.0,0.013999999999999999,0.0,0.0,0.013999999999999999,0.038,0.359,0.0,0.11599999999999999,0.5579999999999999,,0.14300000000000002,0.06,0.0,0.0,,1.54,0.01,18.26,0.01,0.0,0.06,0.0,0.0,0.0,0.11,0.04,0.04,https://www.allbud.com/marijuana-strains/sativa-dominant-hybrid/green-crack
,Holy Banana (SG-hyb),"Flower, Inhalable",,,,,,0.0,0.006,0.001,0.0,0.0,0.0,0.0,0.015,0.043,0.0,0.011000000000000001,0.051,0.09699999999999999,0.0,0.195,0.162,,0.081,0.326,0.0,0.0,,0.67,0.02,23.06,0.01,0.02,0.07,0.0,0.0,0.0,0.3,0.08,0.0,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/holy-banana
,24K (SH-hyb),"Flower, Inhalable",,,,,,0.0,0.009000000000000001,0.023,0.0,0.0,0.138,0.0,0.081,0.0,0.0,0.102,0.145,0.696,0.0,0.45399999999999996,1.92,,0.308,0.268,0.0,0.0,,2.52,0.04,21.34,0.04,0.0,0.09,0.0,0.01,0.0,1.91,0.11,0.05,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/24k
,Mendo Breath (SG-hyb),"Flower, Inhalable",,,,,,0.0,0.009000000000000001,0.017,0.0,0.002,0.002,0.0,0.139,0.001,0.01,0.11,0.295,0.036000000000000004,0.0,0.982,0.344,,0.071,0.433,0.001,0.0,,0.9,0.02,19.5,0.02,0.0,0.08,0.0,0.0,0.0,0.21,0.06,0.06,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/mendo-breath
,Angelica (SG-hyb),"Flower, Inhalable",,,,,,0.0,0.009000000000000001,0.009000000000000001,0.002,0.002,0.002,0.0,0.107,0.002,0.011000000000000001,0.048,0.096,0.038,0.0,0.311,0.9390000000000001,,0.065,0.42,0.001,0.0,,0.88,0.05,21.43,0.01,0.0,0.07,0.0,0.0,0.0,1.77,0.08,0.04,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/angelica
,Sherbert (SG ind),"Flower, Inhalable",,,,,,0.0,0.005,0.033,0.001,0.006,0.003,0.0,0.14800000000000002,0.003,0.005,0.09,0.48200000000000004,0.019,0.0,1.129,0.217,,0.035,0.23399999999999999,0.0,0.0,,0.83,0.03,20.46,0.02,0.0,0.06,0.0,0.0,0.0,0.54,0.11,0.05,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/sherbert
,White Shark (SG ind),"Flower, Inhalable",,,,,,0.0,0.003,0.017,0.002,0.009000000000000001,0.006999999999999999,0.0,0.028999999999999998,0.0,0.0,0.073,0.272,0.01,0.0,0.657,0.299,,0.018000000000000002,0.11599999999999999,0.0,0.0,,0.72,0.02,13.61,0.02,0.0,0.05,0.0,0.0,0.0,0.28,0.05,0.01,https://www.allbud.com/marijuana-strains/sativa-dominant-hybrid/white-shark
,Pineapple (SG ind),"Flower, Inhalable",,,,,,0.0,0.008,0.022000000000000002,0.012,0.001,0.004,0.0,0.08,0.045,0.004,0.009000000000000001,0.307,0.046,0.0,0.693,0.305,,0.06,0.335,0.0,0.0,,0.7,0.01,16.86,0.02,0.0,0.06,0.0,0.0,0.0,0.24,0.05,0.0,https://www.allbud.com/marijuana-strains/hybrid/pineapple
,Death Star (SG ind),"Flower, Inhalable",,,,,,0.0,0.005,0.02,0.0,0.006,0.11,0.0,0.071,0.0,0.002,0.08900000000000001,0.32899999999999996,0.016,0.0,0.777,0.13,,0.03,0.217,0.0,0.0,,0.8,0.0,15.48,0.05,0.0,0.07,0.0,0.0,0.0,0.26,0.06,0.0,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/death-star
